,"Active Status","Customer","Balance","Balance Total","Company","Mr./Ms./...","First Name","M.I.","Last Name","Primary Contact","Main Phone","Fax","Alt. Phone","Secondary Contact","Job Title","Main Email","Bill to 1","Bill to 2","Bill to 3","Bill to 4","Bill to 5","Ship to 1","Ship to 2","Ship to 3","Ship to 4","Ship to 5","Customer Type","Terms","Rep","Sales Tax Code","Tax item","Resale Num","Account No.","Credit Limit","Job Status","Job Type","Job Description","Start Date","Projected End","End Date"
,"Active","Amish Country Products",0.00,0.00,"Amish Country Products",,,,,,,,,,,,"Amish Country Products","Leslie Strubel","PO Box 244","Norge, VA 23127",,"Amish Country Products","Leslie Strubel","PO Box 244","Norge, VA 23127",,,,,"Non",,,,"",,,,,,
,"Active","Amish Crafted Furniture",0.00,0.00,"Amish Crafted Furniture",,,,,,,,,,,,"Amish Crafted Furniture","805 Starlight Terrace","Mansfield, OH 44904",,,"Amish Crafted Furniture","805 Starlight Terrace","Mansfield, OH 44904",,,,,,"Non",,,,"",,,,,,
,"Active","Amish Furniture By David",0.00,0.00,"Amish Furniture By David",,,,,,,,,,,,"Amish Furniture By David","64 Fieldstone Way","Mountain Top, PA 18707",,,"Amish Furniture By David","64 Fieldstone Way","Mountain Top, PA 18707",,,,,,"Non",,,,"",,,,,,
,"Active","Amish Furniture Factory",0.00,0.00,"Amish Furniture Factory",,,,,,,,,,,,"Amish Furniture Factory","1501 Woodside Cir","Fairfield, IA 52556",,,"Amish Furniture Factory","1501 Woodside Cir","Fairfield, IA 52556",,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Amish Furniture Haus",0.00,0.00,"Amish Furniture Haus",,,,,,,,,,,,"Amish Furniture Haus","2417 Old North Shore Road","Duluth, MN 55804",,,"Amish Furniture Haus","2417 Old North Shore Road","Duluth, MN 55804",,,,,,"Non",,,,"",,,,,,
,"Active","Amish Furniture Shoppe",0.00,0.00,"Amish Furniture Shoppe",,,,,,,,,,,,"Amish Furniture Shoppe","6807 W 159th St","Tinley Park, IL 60477",,,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Amish Furniture Warehouse",0.00,0.00,"Amish Furniture Warehouse",,,,,,,,,,,,"Amish Furniture Warehouse","N4531 Larry Road","New London, WI 54961",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Amish Oak & Americana Furnishings",0.00,0.00,"Amish Oak & Americana Furnishings",,,,,,,,,,,,"Amish Oak & Americana Furnishings","403 S Main St","Park Rapids, MN 56470",,,"Amish Oak & Americana Furnishings","403 S Main St","Park Rapids, MN 56470",,,,,,"Non",,,,"",,,,,,
,"Active","Amish Oak Direct",0.00,0.00,"Amish Oak Direct",,,,,,,,,,,"amishoakdirect@gmail.com","Amish Oak Direct",,,,,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Amish Outlet Store",0.00,0.00,"Amish Outlet Store",,,,,,,,,,,,"Amish Outlet Store","PO Box 396","Smithville, OH 44677",,,"Amish Outlet Store","PO Box 396","Smithville, OH 44677",,,,,,"Non",,,,"",,,,,,
,"Active","Amish reflection",0.00,0.00,"Amish Reflection",,,,,,,,,,,,"Amish Reflection","3175 E Copper Point Dr","Meridian, ID  83642",,,"Amish Reflection","3175 E Copper Point Dr","Meridian, ID 83642",,,,,,"Non",,,,"",,,,,,
,"Active","Amish Showroom",0.00,0.00,"Amish Showroom",,,,,,,,,,,,"Amish Showroom","10730 Triden Ridge Circle","Rogers, MN 55374",,,"Amish Showroom","10730 Triden Ridge Circle","Rogers, MN 55374",,,,,,"Non",,,,"",,,,,,
,"Active","Amish Traditions",0.00,0.00,"Amish Traditions",,,,,,,,,,,,"Amish Traditions","PO Box 339","Nashville, OH 44661",,,"Amish Traditions","PO Box 339","Nashville, OH 44661",,,,,,"Non",,,,"",,,,,,
,"Active","Amish Valley Products",0.00,0.00,"Amish Valley Products",,,,,,,,,,,,"Amish Valley Products","PO Box 235","Walnut Creek, OH 44687",,,"Amish Valley Products","PO Box 235","Walnut Creek, OH 44687",,,,,,"Non",,,,"",,,,,,
,"Active","Amish Woodworking",0.00,0.00,"Amish Woodworking",,,,,,,,,,,,"Amish Woodworking","PO Box 844","Plymouth, IN 46563",,,"Amish Woodworking","PO Box 844","Plymouth, IN 46563",,,,,,"Non",,,,"",,,,,,
,"Active","Amish Workbench Furniture",0.00,0.00,"Amish Workbench Furniture",,,,,,,,,,,,"Amish Workbench Furniture","Karen Lutes","80095 Merion","La Quinta, CA 92253",,"Amish Workbench Furniture","Karen Lutes","80095 Merion","La Quinta, CA 92253",,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Amishland Furniture",0.00,0.00,"Amishland Furniture",,"Clair",,"Weaver",,,,,,,,"Amishland Furniture","Clair Weaver","PO Box 1678","Winkler,MB R6W 4B5",,"Amishland Furniture","Clair Weaver","PO Box 1678","Winkler, MB R6W 4B5",,,,,"Non",,,,"",,,,,,
,"Active","Amishshowroom.com",0.00,0.00,"Amishshowroom.com",,,,,,,,,,,,"Amishshowroom.com","10730 Triden Ridge Circle","Rogers, MN 55374",,,"Amishshowroom.com","10730 Triden Ridge Circle","Rogers, MN 55374",,,,,,"Non",,,,"",,,,,,
,"Active","Andal Woodworking",0.00,0.00,"Andal Woodworking",,,,,,,,,,,,"Andal Woodworking","1411 Township Road 151","Baltic, OH 43804",,,"Andal Woodworking","1411 Township Road 151","Baltic, OH 43804",,,,,,"Non",,,,"",,,,,,
,"Active","Artistic Coating",0.00,0.00,"Artistic Coating",,,,,,,,,,,,"Artistic Coating","1185 W US 20","Lagrange, IN 46761",,,"Artistic Coating","1185 W US 20","Lagrange, IN 46761",,,,,,"Non",,,,"",,,,,,
,"Active","Beaver Dam Woodworks",0.00,0.00,"Beaver Dam Woodworks",,,,,,,,,,,,"Beaver Dam Woodworks","2060 Beaver Dam Road","Honey Brook, PA 19344",,,"Beaver Dam Woodworks","2060 Beaver Dam Road","Honey Brook, PA 19344",,,,,,"Non",,,,"",,,,,,
,"Active","Black Carriage Furniture",0.00,0.00,"Black Carriage Furniture",,,,,,,,,,,,"Black Carriage Furniture","2580 US Hwy 6 & 50","Grand Junction, CO  81501",,,"Black Carriage Furniture","2580 US Hwy 6 & 50","Grand Junction, CO 81501",,,,,,"Non",,,,"",,,,,,
,"Active","Blue Ridge Furniture",0.00,0.00,"Blue Ridge Furniture",,,,,,,,,,,,"Blue Ridge Furniture","1763 Weaverland Road","East Earl, PA 17519",,,"Blue Ridge Furniture","1763 Weaverland Road","East Earl, PA 17519",,,,,,"Non",,,,"",,,,,,
,"Active","Buckhorn Amish Outlet",0.00,0.00,"Buckhorn Amish Outlet",,,,,,,,,,,,"Buckhorn Amish Outlet","23855 Buckhorn Lane","Richland Center, WI 53581",,,"Buckhorn Amish Outlet","23855 Buckhorn Lane","Richland Center, WI 53581",,,,,,"Non",,,,"",,,,,,
,"Active","Bucks Unfinished Furniture",0.00,0.00,"Bucks Unfinished Furniture",,,,,,"952-884-0901",,,,,,"Bucks Unfinished Furniture","8806 Lyndale Ave S","Bloomington, MN 55420",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Burress Furniture",0.00,0.00,"Burress Furniture",,,,,,,,,,,,"Burress Furniture","182 Danada Square West","Wheaton, IL 60189",,,"Burress Furniture","182 Danada Square West","Wheaton, IL 60189",,,,,,"Non",,,,"",,,,,,
,"Active","Cabinfield Woodworking LLC",7375.00,7375.00,"Cabinfield Woodworking LLC",,,,,,,,,,,,"Cabinfield Woodworking LLC","15 Cabinfield Circle","Lakewood, NJ 08701",,,,,,,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Capretti Design",-5.00,-5.00,"Capretti Design",,,,,,,,,,,,"Capretti Design","304 Indian Trace #703","Weston, FL 33326",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Carriage Home Furnishings",0.00,0.00,"Carriage House Furnishings",,,,,,"717-768-8712",,,,,,"Carriage House Furnishings","3572 W Newport Road","Ronks, PA 17572",,,"Carriage House Furnishings","3572 W Newport Road","Ronks, PA 17572",,,,,,"Non",,,,"",,,,,,
,"Active","Cedar Ridge Furniture",0.00,0.00,"Cedar Ridge Furniture",,,,,,,,,,,,"Cedar Ridge Furniture","112 Maxwell Hill Road","Morgantown, PA 19543",,,,,,,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Clear Creek Furniture",0.00,0.00,"Clear Creek Furniture",,,,,,,,,,,,"Clear Creek Furniture","1558 E State Route 73","Waynesville, PA 45068",,,,,,,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Colonial Road Woodworks",-2.65,-2.65,"Colonial Road Woodworks",,,,,,,,,,,,"Colonial Road Woodworks","285 Voganville Road","New Holland, PA 17557",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Colorado Rustic LLC",250.00,250.00,"Colorado Rustic LLC",,,,,,,,,,,,"Colorado Rustic LLC","5839 Meadows Dr","Clarkston, MI 48348",,,"Colorado Rustic LLC","5839 Meadows Dr","Clarkston, MI 48348",,,,,,"Non",,,,"",,,,,,
,"Active","Cordell Coblentz",0.00,0.00,"Cordell Coblentz",,,,,,,,,,,,"Cordell Coblentz","PO Box 403","Berlin, OH 44610",,,"Cordell Coblentz","PO Box 403","Berlin, OH 44610",,,,,,"Non",,,,"",,,,,,
,"Active","Country Cupola",0.00,0.00,"Country Cupola",,,,,,,,,,,,"Country Cupola","53 N Ramona Road","Myerstown, PA 17067",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Country Lane Furniture",0.00,0.00,"Country Lane Furniture",,,,,,,,,,,,"Country Lane Furniture","10 Nathan Lane","Annville, PA 17003",,,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Country Road Primitive",0.00,0.00,"Country Road Primitive",,,,,,,,,,,,"Country Road Primitive","7044 County Road 201","Millersburg, OH 44654",,,"Country Road Primitive","7044 County Road 201","Millersburg, OH 44654",,,,,,"Non",,,,"",,,,,,
,"Active","Countryside Amish Furniture LLC",1100.00,1100.00,"Countryside Amish Furniture LLC",,,,,,,"217-543-2951",,,,,"Countryside Amish Furniture LLC","1025 Moses Court","Arthur, IL 61911",,,"Countryside Amish Furniture LLC","1025 Moses Court","Arthur, IL 61911",,,,,,"Non",,,,"",,,,,,
,"Active","Countryside Tables",0.00,0.00,"Countryside Tables",,,,,,,,,,,,"Countryside Tables","4201 County Road 168","Millersburg, OH 44654",,,"Countryside Tables","4201 County Road 168","Millersburg, OH 44654",,,,,,"Non",,,,"",,,,,,
,"Active","Craig Hanson",0.00,0.00,"Craig Hanson",,,,,,,,,,,,"Craig Hanson","3045 County Rd A14","Cresco, IA 52136",,,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Creative Crafts & Furniture",0.00,0.00,"Creative Crafts & Furniture",,,,,,,,,,,,"Creative Crafts & Furniture","5030 Brown Station Rd","Upper Marlboro, MD 20772",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Creative Crafts & Furniture - PA",0.00,0.00,"Creative Crafts & Furniture - PA",,,,,,,,,,,,"Creative Crafts & Furniture - PA","5932 Limeville Rd","Gap, PA 17527",,,"Creative Crafts & Furniture","5932 Limeville Rd","Gap, PA 17527",,,,,,"Non",,,,"",,,,,,
,"Active","Creative Rustic Furniture",0.00,0.00,"Creative Rustic Furniture",,,,,,,,,,,,"Creative Rustic Furniture","1240 Sun Valley Road","Stevens, PA 17578",,,"Creative Rustic Furniture","1240 Sun Valley Road","Stevens, PA 17578",,,,,,"Non",,,,"",,,,,,
,"Active","Cupolas Direct",0.00,0.00,"Cupolas Direct",,,,,,,,,,,,"Cupolas Direct","PO Box 36","Holtwood, PA 17532",,,"Cupolas Direct","PO Box 36","Holtwood, PA 17532",,,,,,"Non",,,,"",,,,,,
,"Active","Dan Swartzentruber",0.00,0.00,"Dan Swartzentruber",,,,,,,,,,,,"Dan Swartzentruber","Erik Organic","350 Main Ave N #2","Harmony, MN 55939",,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Das Holz Haus",0.00,0.00,"Das Holz Haus",,,,,,,,,,,,"Das Holz Haus","573 N CR325 E","Tuscola, IL 61953",,,"Das Holz Haus","573 N CR325 E","Tuscola, IL 61953",,,,,,"Non",,,,"",,,,,,
,"Active","Dave Kingsley",0.00,0.00,,,,,,,,,,,,,"Dave Kingsley",,,,,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Defining Spaces LLC",0.00,0.00,"Defining Spaces",,,,,,,,,,,,"Defining Spaces","2 Scenic View Dr","Monroeville, PA 15146",,,"Defining Spaces","2 Scenic View Dr","Monroeville, PA 15146",,,,,,"Non",,,,"",,,,,,
,"Active","Detweiler & Kauffman Furniture",0.00,0.00,"Detweiler & Kauffman Furniture",,,,,,,,,,,,"Detweiler & Kauffman Furniture","W282 Atkinson Road","Albany, WI 53502",,,"Detweiler & Kauffman Furniture","W282 Atkinson Road","Albany, WI 53502",,,,,,"Non",,,,"",,,,,,
,"Active","Deutsch Furniture Gallery",0.00,0.00,"Deutsch Furniture Gallery",,,,,,,,,,,,"Deutsch Furniture Gallery","4825 Commercial Drive SW","Rochester, MN 55902",,,"Deutsch Furniture Gallery","4825 Commercial Drive SW","Rochester, MN 55902",,,,,,"Non",,,,"",,,,,,
,"Active","Deutsch Furniture Haus",0.00,0.00,"Deutsch Furniture Haus",,,,,,,,,,,,"Deutsch Furniture Haus","3551 Commercial Dr SW","Rochester, MN 55902",,,"Deutsch Furniture Haus","3551 Commercial Dr SW","Rochester, MN 55902",,,,,,"Non",,,,"",,,,,,
,"Active","Donna Spalding",0.00,0.00,"Donna Spalding",,,,,,,,,,,,"Donna Spalding","400 S State St","PO Box 314","Rochester, WI 53167",,"Donna Spalding","400 S State St","PO Box 314","Rochester, WI 53167",,,,,"Non",,,,"",,,,,,
,"Active","Dovetails Furniture",0.00,0.00,"Dovestail Furniture",,,,,,,,,,,,"Dovestail Furniture","63700 Clausen Rd #102","Bend, OR 97701",,,"Dovestail Furniture","63700 Clausen Rd #102","Bend, OR 97701",,,,,,"Non",,,,"",,,,,,
,"Active","Dutch Craft Furniture",0.00,0.00,"Dutch Craft Furniture",,,,,,,,,,,,"Dutch Craft Furniture","PO Box 199","Berlin, OH 44610",,,"Dutch Craft Furniture","PO Box 199","Berlin, OH 44610",,,,,,"Non",,,,"",,,,,,
,"Active","Dutch Creek Design",0.00,0.00,"Dutch Creek Design",,,,,,,,,,,,"Dutch Creek Design","6900 E Moreland Rd","Fredericksburg, OH 44627",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Dutch Design",0.00,0.00,"Dutch Design",,,,,,,,,,,,"Dutch Design","8216 State Route 241","Fredericksburg, OH 44627",,,"Dutch Design","8216 State Route 241","Fredericksburg, OH 44627",,,,,,"Non",,,,"",,,,,,
,"Active","Dutch Homestead Furniture",0.00,0.00,"Dutch Homestead Furniture",,,,,,,,,,,,"Dutch Homestead Furniture",,,,,"Dutch Homestead Furniture",,,,,,,,"Non",,,,"",,,,,,
,"Active","Dutchmaid Woodworking",0.00,0.00,"Dutchmaid Woodworking LLC",,,,,,,,,,,,"Dutchmaid Woodworking LLC","4510 W 200 N","Shipshewana, IN 46565",,,"Dutchmaid Woodworking LLC","4510 W 200 N","Shipshewana, IN 46565",,,,,,"Non",,,,"",,,,,,
,"Active","Dutchman Log Furniture",350.00,350.00,"Dutchman Log Furniture",,,,,,,,,,,,"Dutchman Log Furniture","C/O Menno Petersheim","7275 W 200 N","Shipshewana, IN 46565",,"Dutchman Log Furniture","C/O Menno Petersheim","7275 W 200 N","Shipshewana, IN 46565",,,,,"Non",,,,"",,,,,,
,"Active","E Custom Bikes",0.00,0.00,"E Custom Bikes",,,,,,,,,,,,"E Custom Bikes","9800 Kidron Road","Fredericksburg, OH 44627",,,"E Custom Bikes","9800 Kidron Road","Fredericksburg, OH 44627",,,,,,"Non",,,,"",,,,,,
,"Active","E&E Quality Furniture",0.00,0.00,"E&E Quality Furniture",,,,,,"410-807-8550",,,,,,"E&E Quality Furniture","418 Camargo Road","Quarryville, PA 17566",,,"E&E Quality Furniture","418 Camargo Road","Quarryville, PA 17566",,,,,,"Non",,,,"",,,,,,
,"Active","E&S Wood Creations",0.00,0.00,"E& S Wood Creations",,,,,,,,,,,,"E & S Wood Creations","2030 N 450 W","Lagrange, IN 46761",,,"E & S Wood Creations","2030 N 450 W","Lagrange, IN 46761",,,,,,"Non",,,,"",,,,,,
,"Active","EH Woodworking",0.00,0.00,"EH Woodworking",,,,,,,,,,,,"EH Woodworking","1763 Weaverland Rd","East Earl, PA 17519",,,"EH Woodworking","1763 Weaverland RdEast Earl, PA 17519",,,,,,,"Non",,,,"",,,,,,
,"Active","Eli Hershberger",0.00,0.00,"Eli Hershberger",,,,,,,,,,,,"Eli Hershberger","13220 Hwy 52","Harmony, MN 55939",,,"Eli Hershberger","13220 Hwy 52","Harmony, MN 55939",,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Erik Organic",0.00,0.00,"Erik Organic",,,,,,,,,,,,"Erik Organic","3125 E 78th St","Inver Grove Heights, MN 55076",,,,,,,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Ervin's Millwork Shop",0.00,0.00,"Ervin's Millwork Shop",,,,,,,,,,,,"Ervin's Millwork Shop","8645 W 100 S","Shipshewana, IN 46565",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Everything Amish",0.00,0.00,"Everything Amish",,,,,,,,,,,,"Everything Amish","1010 13th Ave","West Fargo, ND 58078",,,"Everything Amish","1010 13th Ave","West Fargo, ND 58078",,,,,,"Non",,,,"",,,,,,
,"Active","Fairview Woodworking",300.00,300.00,"Fairview Woodworking",,,,,,,,,,,,"Fairview Woodworking","8655 W 100 S","Shipshewana, IN 46565",,,"Fairview Woodworking","8655 W 100 S","Shipshewana, IN 46565",,,,,,"Non",,,,"",,,,,,
,"Active","Fenkers Furniture",0.00,0.00,"Fenkers Furniture",,,,,,,,,,,,"Fenkers Furniture","1114-16 Lincolnway","LaPorte, IN 46352",,,"Fenkers Furniture","1114-16 Lincolnway","LaPorte, IN 46352",,,,,,"Non",,,,"",,,,,,
,"Active","Fighting Creek Furniture",0.00,0.00,"Fighting Creek Furniture",,,,,,,,,,,,"Fighting Creek Furniture","4190 Old Plantation Road","Powhatan, VA 23139",,,,,,,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Furniture & Things",0.00,0.00,"Furniture & Things Inc",,,,,,,,,,,,"Furniture & Things Inc","15612 Jarvis St NW","Elk River, MN 55330",,,"Furniture & Things Inc","15612 Jarvis St NW","Elk River, MN 55330",,,,,,"Non",,,,"",,,,,,
,"Active","Furniture Craftsmen.com",0.00,0.00,"Furniture Craftsmen.com",,,,,,,,,,,,"Furniture Craftsmen.com","80095 Merion","La Quinta, CA 92253",,,"Furniture Craftsmen.com","80095 Merion","La Quinta, CA 92253",,,,"1% 10 Net 30",,"Non",,,,"",,,,,,
,"Active","Game On Tables",0.00,0.00,"Game On Tables",,,,,,,,,,,,"Game On Tables","Jack Kinney","PO Box 1503","Plymouth, IN 46563",,"Game On Tables","Jack Kinney","PO Box 1503","Plymouth, IN 46563",,,,,"Non",,,,"",,,,,,
,"Active","Genuine Oak Design",0.00,0.00,"Genuine Oak Design",,,,,,,,,,,,"Genuine Oak Design","9035 Senff Rd","Dundee, OH 44624",,,"Genuine Oak Design","9035 Senff Rd","Dundee, OH 44624",,,,,,"Non",,,,"",,,,,,
,"Active","German Heritage",0.00,0.00,"German Heritage",,,,,,,,,,,,"German Heritage","303 Main St","Chester, IA 52134",,,,,,,,,"Due on receipt",,"Non",,,,"",,,,,,
,"Active","Graber's Handcrafted Furniture",0.00,0.00,"Graber's Handcrafted Furniture",,,,,,,,,,,,"Graber's Handcrafted Furniture","8601 N 1000 E","Odon, IN 47562",,,"Graber's Handcrafted Furniture","8601 N 1000 E","Odon, IN 47562",,,,,,"Non",,,,"",,,,,,
,"Active","Green Cradle",0.00,0.00,"Green Cradle",,,,,,,,,,,"edward@greencradle.com","Green Cradle","13344 Ventura Blvd","Sherman Oaks, CA 91423",,,"Green Cradle","13344 Ventura Blvd","Sherman Oaks, CA 91423",,,,,,"Non",,,,"",,,,,,
,"Active","Green Meadow Houses & Feeders",0.00,0.00,"Green Meadow Houses & Feeders",,,,,,,,,,,,"Green Meadow Houses & Feeders","0725 N 840 W","Shipshewana, IN 46565",,,"Green Meadow Houses & Feeders","0725 N 840 W","Shipshewana, IN 46565",,,,,,"Non",,,,"",,,,,,
,"Active","Harmony Cedar",0.00,0.00,"Harmony Cedar",,,,,,,,,,,,"Harmony Cedar","1007 15th Ave N","South Saint Paul, MN 55075",,,,,,,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Heartland Wholesale",0.00,0.00,"Heartland Wholesale",,,,,,,,,,,,"Heartland Wholesale","62780 County Road 37","Goshen, IN 46528",,,"Heartland Wholesale","62780 County Road 37","Goshen, IN 46528",,,,,,"Non",,,,"",,,,,,
,"Active","Hedge House",0.00,0.00,"Hedge House",,"Katlyn",,"Mast",,,,,,,,"Hedge House","Susan Bower","52160 Wayne Ct N","Granger, IN 46530",,"Hedge House","Susan Bower","52160 Wayne Ct N","Granger, IN 46530",,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Heritage Acres Woodshop & Wholesale",0.00,0.00,"Heritage Acres Woodshop & Wholesale",,,,,,,,,,,,"Heritage Acres Woodshop & Wholesale","10120 W 500 S","Millersburg, IN 46543",,,"Heritage Acres Woodshop & Wholesale","10120 W 500 S","Millersburg, IN 46543",,,,,,"Non",,,,"",,,,,,
,"Active","Heritage Reflections",0.00,0.00,"Heritage Reflections",,,,,,,,,,,,"Heritage Reflections","3175 E Copper Point Dr","Meridian, ID 43642",,,"Heritage Reflections","3175 E Copper Point Dr","Meridian, ID 43642",,,,,,"Non",,,,"",,,,,,
,"Active","Hershberger Furniture",0.00,0.00,"Hershberger Furniture",,,,,,,,,,,,"Hershberger Furniture","138 S Park Square Suite 102","Fruita, CO 81521",,,,,,,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Hershberger Woodworking",0.00,0.00,"Hershberger Woodworking",,,,,,,,,,,,"Hershberger Woodworking","E22680 County Road RR","Augusta, WI 54722",,,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Hidden Nook",0.00,0.00,"Hidden Nook",,,,,,,,,,,,"Hidden Nook","7882 Township Road 562","Holmesville, OH 44633",,,"Hidden Nook","7882 Township Road 562","Holmesville, OH 44633",,,,,,"Non",,,,"",,,,,,
,"Active","Hilltop Hickory Furniture",0.00,0.00,"Hilltop Hickory Furniture",,,,,,,,,,,,"Hilltop Hickory Furniture","3341 W 1200 N","Ligonier, IN 46767",,,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Honey Brook Woodcrafts",0.00,0.00,"Honey Brook Woodcrafts",,,,,,,,,,,,"Honey Brook Woodcrafts","630 White School Road","Honey Brook, PA",,,"Honey Brook Woodcrafts","630 White School Road","Honey Brook, PA",,,,,,"Non",,,,"",,,,,,
,"Active","Hoosier Poly Products",0.00,0.00,"Hoosier Poly Products",,,,,,,,,,,,"Hoosier Poly Products","9332 W 1100 N","Ligonier, IN 46767",,,"Hoosier Poly Products","9332 W 1100 N","Ligonier, IN 46767",,,,,,"Non",,,,"",,,,,,
,"Active","Hoosier Woodworking",0.00,0.00,"Hoosier Woodworking",,,,,,,,,,,,"Hoosier Woodworking","25180 County Road 52","Nappanee, IN 46550",,,"Hoosier Woodworking","25180 County Road 52","Nappanee, IN 46550",,,,,,"Non",,,,"",,,,,,
,"Active","Industrial Craftsman",0.00,0.00,"Industrial Craftsman",,,,,,,,,,,,"Industrial Craftsman","PO Box 403","Berlin, OH 44610",,,"Industrial Craftsman","PO Box 403","Berlin, OH 44610",,,,,,"Non",,,,"",,,,,,
,"Active","J & R Woodworking",0.00,0.00,"J & R Woodworking",,,,,,,,,,,,"J & R Woodworking","4864 County Road 120","Millersburg, OH 44654",,,,,,,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","J&R",0.00,0.00,"J&R",,,,,,,,,,,,"J&R","3200 W 100 N","Lagrange, IN 46761",,,,,,,,,"1% 10 Net 30",,,,,,"",,,,,,
,"Active","Jamie Gile",0.00,0.00,"Jamie Gile",,,,,,,,,,,,"Jamie Gile","640 River St","Dakota, MN 55925",,,"Jamie Gile","640 River St","Dakota, MN 55925",,,,,,"Non",,,,"",,,,,,
